"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHEXP","TOT","MLN_USD","A","1970",30506.6984915922,
"AUS","HHEXP","TOT","MLN_USD","A","1971",32832.5431922254,
"AUS","HHEXP","TOT","MLN_USD","A","1972",35625.1546354779,
"AUS","HHEXP","TOT","MLN_USD","A","1973",41154.1920710404,
"AUS","HHEXP","TOT","MLN_USD","A","1974",48509.0880810189,
"AUS","HHEXP","TOT","MLN_USD","A","1975",52475.3507489887,
"AUS","HHEXP","TOT","MLN_USD","A","1976",56956.8381341721,
"AUS","HHEXP","TOT","MLN_USD","A","1977",61292.5046397287,
"AUS","HHEXP","TOT","MLN_USD","A","1978",66921.5214010992,
"AUS","HHEXP","TOT","MLN_USD","A","1979",74414.2158938649,
"AUS","HHEXP","TOT","MLN_USD","A","1980",84693.6427808502,
"AUS","HHEXP","TOT","MLN_USD","A","1981",97566.3481279118,
"AUS","HHEXP","TOT","MLN_USD","A","1982",105858.820343643,
"AUS","HHEXP","TOT","MLN_USD","A","1983",109713.47297545,
"AUS","HHEXP","TOT","MLN_USD","A","1984",114614.120655782,
"AUS","HHEXP","TOT","MLN_USD","A","1985",125546.327387655,
"AUS","HHEXP","TOT","MLN_USD","A","1986",131278.274223779,
"AUS","HHEXP","TOT","MLN_USD","A","1987",138714.585849834,
"AUS","HHEXP","TOT","MLN_USD","A","1988",150444.231155994,
"AUS","HHEXP","TOT","MLN_USD","A","1989",163896.078510499,
"AUS","HHEXP","TOT","MLN_USD","A","1990",171021.815492347,
"AUS","HHEXP","TOT","MLN_USD","A","1991",178963.831380424,
"AUS","HHEXP","TOT","MLN_USD","A","1992",187030.929129238,
"AUS","HHEXP","TOT","MLN_USD","A","1993",195325.155286512,
"AUS","HHEXP","TOT","MLN_USD","A","1994",209192.784816829,
"AUS","HHEXP","TOT","MLN_USD","A","1995",220783.147364357,
"AUS","HHEXP","TOT","MLN_USD","A","1996",230941.525429012,
"AUS","HHEXP","TOT","MLN_USD","A","1997",246869.133369749,
"AUS","HHEXP","TOT","MLN_USD","A","1998",261745.943692357,
"AUS","HHEXP","TOT","MLN_USD","A","1999",279306.477104713,
"AUS","HHEXP","TOT","MLN_USD","A","2000",299002.934221905,
"AUS","HHEXP","TOT","MLN_USD","A","2001",311469.705117535,
"AUS","HHEXP","TOT","MLN_USD","A","2002",329243.852140565,
"AUS","HHEXP","TOT","MLN_USD","A","2003",343369.033178257,
"AUS","HHEXP","TOT","MLN_USD","A","2004",368514.116645089,
"AUS","HHEXP","TOT","MLN_USD","A","2005",386817.629997343,
"AUS","HHEXP","TOT","MLN_USD","A","2006",411272.828901671,
"AUS","HHEXP","TOT","MLN_USD","A","2007",442370.908203275,
"AUS","HHEXP","TOT","MLN_USD","A","2008",449727.700414253,
"AUS","HHEXP","TOT","MLN_USD","A","2009",471903.521974788,
"AUS","HHEXP","TOT","MLN_USD","A","2010",497968.855502696,
"AUS","HHEXP","TOT","MLN_USD","A","2011",533347.875407126,
