"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1970",26166.921,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1971",28126.394,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1972",28693.207,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1973",26958.759,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1974",29596.14,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1975",30752.438,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1976",32949.405,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1977",33691.363,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1978",36082.181,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1979",38631.705,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1980",36756.121,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1981",37624.479,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1982",37820.029,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1983",40706.241,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1984",46990.496,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1985",48768.589,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1986",53657.351,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1987",58191.854,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1988",58795.51,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1989",61541.152,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1990",68468.741,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1991",74942.312,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1992",80495.945,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1993",88133.75,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1994",92023.221,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1995",101189.153,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1996",112201.763,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1997",117339.922,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1998",119587.336,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1999",131416.723,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2000",142773.954,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2001",142073.374,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2002",142789.258,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2003",144686.948,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2004",149692.474,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2005",154165.762,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2006",160573.582,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2007",167027.882,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2008",171066.424,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2009",179116.302,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2010",180634.794,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2011",188953.342,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2012",198987.632,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2013",211076.619,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2014",225543.953,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2015",239987.482,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2016",253180.054,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2017",263597.51,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2018",274057.476,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2019",269286.045,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2020",246693.446,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1970",22278.824,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1971",23706.469,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1972",26111.514,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1973",27532.168,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1974",30481.145,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1975",29749.843,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1976",33040,"E"
