"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","IDX2015","A","1970",51.398411,
"AUS","GDPHRWKD","TOT","IDX2015","A","1971",52.683096,
"AUS","GDPHRWKD","TOT","IDX2015","A","1972",53.842526,
"AUS","GDPHRWKD","TOT","IDX2015","A","1973",54.951824,
"AUS","GDPHRWKD","TOT","IDX2015","A","1974",54.077099,
"AUS","GDPHRWKD","TOT","IDX2015","A","1975",56.078565,
"AUS","GDPHRWKD","TOT","IDX2015","A","1976",57.014695,
"AUS","GDPHRWKD","TOT","IDX2015","A","1977",56.950267,
"AUS","GDPHRWKD","TOT","IDX2015","A","1978",59.353105,
"AUS","GDPHRWKD","TOT","IDX2015","A","1979",59.641204,
"AUS","GDPHRWKD","TOT","IDX2015","A","1980",60.280647,
"AUS","GDPHRWKD","TOT","IDX2015","A","1981",62.061801,
"AUS","GDPHRWKD","TOT","IDX2015","A","1982",62.838078,
"AUS","GDPHRWKD","TOT","IDX2015","A","1983",64.411825,
"AUS","GDPHRWKD","TOT","IDX2015","A","1984",65.820736,
"AUS","GDPHRWKD","TOT","IDX2015","A","1985",63.514477,
"AUS","GDPHRWKD","TOT","IDX2015","A","1986",63.55056,
"AUS","GDPHRWKD","TOT","IDX2015","A","1987",64.906876,
"AUS","GDPHRWKD","TOT","IDX2015","A","1988",64.702755,
"AUS","GDPHRWKD","TOT","IDX2015","A","1989",64.914377,
"AUS","GDPHRWKD","TOT","IDX2015","A","1990",65.935338,
"AUS","GDPHRWKD","TOT","IDX2015","A","1991",67.439953,
"AUS","GDPHRWKD","TOT","IDX2015","A","1992",69.50351,
"AUS","GDPHRWKD","TOT","IDX2015","A","1993",69.656341,
"AUS","GDPHRWKD","TOT","IDX2015","A","1994",69.779773,
"AUS","GDPHRWKD","TOT","IDX2015","A","1995",71.888274,
"AUS","GDPHRWKD","TOT","IDX2015","A","1996",74.418086,
"AUS","GDPHRWKD","TOT","IDX2015","A","1997",76.911529,
"AUS","GDPHRWKD","TOT","IDX2015","A","1998",79.434782,
"AUS","GDPHRWKD","TOT","IDX2015","A","1999",80.136345,
"AUS","GDPHRWKD","TOT","IDX2015","A","2000",80.957069,
"AUS","GDPHRWKD","TOT","IDX2015","A","2001",83.781294,
"AUS","GDPHRWKD","TOT","IDX2015","A","2002",84.947281,
"AUS","GDPHRWKD","TOT","IDX2015","A","2003",86.776633,
"AUS","GDPHRWKD","TOT","IDX2015","A","2004",86.527898,
"AUS","GDPHRWKD","TOT","IDX2015","A","2005",86.883533,
"AUS","GDPHRWKD","TOT","IDX2015","A","2006",87.386465,
"AUS","GDPHRWKD","TOT","IDX2015","A","2007",88.443078,
"AUS","GDPHRWKD","TOT","IDX2015","A","2008",91.552284,
"AUS","GDPHRWKD","TOT","IDX2015","A","2009",90.667111,
"AUS","GDPHRWKD","TOT","IDX2015","A","2010",92.16175,
"AUS","GDPHRWKD","TOT","IDX2015","A","2011",93.246165,
"AUS","GDPHRWKD","TOT","IDX2015","A","2012",95.479403,
"AUS","GDPHRWKD","TOT","IDX2015","A","2013",97.075906,
"AUS","GDPHRWKD","TOT","IDX2015","A","2014",97.524349,
"AUS","GDPHRWKD","TOT","IDX2015","A","2015",100,
"AUS","GDPHRWKD","TOT","IDX2015","A","2016",99.732875,
"AUS","GDPHRWKD","TOT","IDX2015","A","2017",100.935961,
"AUS","GDPHRWKD","TOT","IDX2015","A","2018",100.940075,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2019",101.922515,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2020",98.930649,"E"
"AUT","GDPHRWKD","TOT","IDX2015","A","1995",75.973772,
"AUT","GDPHRWKD","TOT","IDX2015","A","1996",76.077082,
"AUT","GDPHRWKD","TOT","IDX2015","A","1997",76.741271,
"AUT","GDPHRWKD","TOT","IDX2015","A","1998",79.634747,
"AUT","GDPHRWKD","TOT","IDX2015","A","1999",81.04039,
"AUT","GDPHRWKD","TOT","IDX2015","A","2000",82.989636,
"AUT","GDPHRWKD","TOT","IDX2015","A","2001",84.042707,
"AUT","GDPHRWKD","TOT","IDX2015","A","2002",85.615532,
"AUT","GDPHRWKD","TOT","IDX2015","A","2003",86.329189,
"AUT","GDPHRWKD","TOT","IDX2015","A","2004",87.979271,
"AUT","GDPHRWKD","TOT","IDX2015","A","2005",90.135954,
"AUT","GDPHRWKD","TOT","IDX2015","A","2006",92.494362,
"AUT","GDPHRWKD","TOT","IDX2015","A","2007",94.86588,
"AUT","GDPHRWKD","TOT","IDX2015","A","2008",94.866485,
"AUT","GDPHRWKD","TOT","IDX2015","A","2009",94.195928,
"AUT","GDPHRWKD","TOT","IDX2015","A","2010",95.57564,
"AUT","GDPHRWKD","TOT","IDX2015","A","2011",96.55155,
"AUT","GDPHRWKD","TOT","IDX2015","A","2012",97.588568,
"AUT","GDPHRWKD","TOT","IDX2015","A","2013",98.235449,
"AUT","GDPHRWKD","TOT","IDX2015","A","2014",98.602214,
"AUT","GDPHRWKD","TOT","IDX2015","A","2015",100,
"AUT","GDPHRWKD","TOT","IDX2015","A","2016",99.877092,
"AUT","GDPHRWKD","TOT","IDX2015","A","2017",101.087913,
"AUT","GDPHRWKD","TOT","IDX2015","A","2018",101.624302,
"AUT","GDPHRWKD","TOT","IDX2015","A","2019",101.500177,
"AUT","GDPHRWKD","TOT","IDX2015","A","2020",103.705325,
"BEL","GDPHRWKD","TOT","IDX2015","A","1970",38.401368,
"BEL","GDPHRWKD","TOT","IDX2015","A","1971",39.782131,
"BEL","GDPHRWKD","TOT","IDX2015","A","1972",42.551363,
"BEL","GDPHRWKD","TOT","IDX2015","A","1973",45.432821,
"BEL","GDPHRWKD","TOT","IDX2015","A","1974",47.378157,
"BEL","GDPHRWKD","TOT","IDX2015","A","1975",47.679906,
"BEL","GDPHRWKD","TOT","IDX2015","A","1976",50.565819,
"BEL","GDPHRWKD","TOT","IDX2015","A","1977",51.833961,
"BEL","GDPHRWKD","TOT","IDX2015","A","1978",53.777412,
"BEL","GDPHRWKD","TOT","IDX2015","A","1979",55.055664,
"BEL","GDPHRWKD","TOT","IDX2015","A","1980",58.277066,
"BEL","GDPHRWKD","TOT","IDX2015","A","1981",60.016962,
"BEL","GDPHRWKD","TOT","IDX2015","A","1982",61.694762,
"BEL","GDPHRWKD","TOT","IDX2015","A","1983",62.479599,
"BEL","GDPHRWKD","TOT","IDX2015","A","1984",63.142679,
"BEL","GDPHRWKD","TOT","IDX2015","A","1985",63.648614,
"BEL","GDPHRWKD","TOT","IDX2015","A","1986",65.160397,
"BEL","GDPHRWKD","TOT","IDX2015","A","1987",66.78523,
"BEL","GDPHRWKD","TOT","IDX2015","A","1988",69.101422,
"BEL","GDPHRWKD","TOT","IDX2015","A","1989",70.798664,
"BEL","GDPHRWKD","TOT","IDX2015","A","1990",71.623707,
"BEL","GDPHRWKD","TOT","IDX2015","A","1991",74.363041,
"BEL","GDPHRWKD","TOT","IDX2015","A","1992",76.687044,
"BEL","GDPHRWKD","TOT","IDX2015","A","1993",78.604246,
"BEL","GDPHRWKD","TOT","IDX2015","A","1994",81.486426,
"BEL","GDPHRWKD","TOT","IDX2015","A","1995",81.829314,
"BEL","GDPHRWKD","TOT","IDX2015","A","1996",82.850141,
"BEL","GDPHRWKD","TOT","IDX2015","A","1997",85.03396,
"BEL","GDPHRWKD","TOT","IDX2015","A","1998",85.640713,
"BEL","GDPHRWKD","TOT","IDX2015","A","1999",87.413018,
"BEL","GDPHRWKD","TOT","IDX2015","A","2000",88.10764,
"BEL","GDPHRWKD","TOT","IDX2015","A","2001",88.309445,
"BEL","GDPHRWKD","TOT","IDX2015","A","2002",88.915037,
"BEL","GDPHRWKD","TOT","IDX2015","A","2003",89.66458,
"BEL","GDPHRWKD","TOT","IDX2015","A","2004",92.561794,
"BEL","GDPHRWKD","TOT","IDX2015","A","2005",93.971437,
"BEL","GDPHRWKD","TOT","IDX2015","A","2006",94.459137,
"BEL","GDPHRWKD","TOT","IDX2015","A","2007",96.205262,
"BEL","GDPHRWKD","TOT","IDX2015","A","2008",95.614367,
"BEL","GDPHRWKD","TOT","IDX2015","A","2009",94.994876,
"BEL","GDPHRWKD","TOT","IDX2015","A","2010",96.437346,
"BEL","GDPHRWKD","TOT","IDX2015","A","2011",95.778661,
"BEL","GDPHRWKD","TOT","IDX2015","A","2012",96.255207,
"BEL","GDPHRWKD","TOT","IDX2015","A","2013",97.085446,
"BEL","GDPHRWKD","TOT","IDX2015","A","2014",98.476362,
"BEL","GDPHRWKD","TOT","IDX2015","A","2015",100,
"BEL","GDPHRWKD","TOT","IDX2015","A","2016",100.097921,
"BEL","GDPHRWKD","TOT","IDX2015","A","2017",99.90136,
"BEL","GDPHRWKD","TOT","IDX2015","A","2018",100.133328,
"BEL","GDPHRWKD","TOT","IDX2015","A","2019",100.85839,
"BEL","GDPHRWKD","TOT","IDX2015","A","2020",104.026553,
"CAN","GDPHRWKD","TOT","IDX2015","A","1970",56.080341,
"CAN","GDPHRWKD","TOT","IDX2015","A","1971",57.460208,
"CAN","GDPHRWKD","TOT","IDX2015","A","1972",59.450117,
"CAN","GDPHRWKD","TOT","IDX2015","A","1973",60.866848,
"CAN","GDPHRWKD","TOT","IDX2015","A","1974",60.863794,
"CAN","GDPHRWKD","TOT","IDX2015","A","1975",61.5608,
"CAN","GDPHRWKD","TOT","IDX2015","A","1976",65.189964,
"CAN","GDPHRWKD","TOT","IDX2015","A","1977",66.99891,
"CAN","GDPHRWKD","TOT","IDX2015","A","1978",67.492624,
"CAN","GDPHRWKD","TOT","IDX2015","A","1979",66.828306,
"CAN","GDPHRWKD","TOT","IDX2015","A","1980",66.631564,
"CAN","GDPHRWKD","TOT","IDX2015","A","1981",67.547246,
"CAN","GDPHRWKD","TOT","IDX2015","A","1982",68.479417,
"CAN","GDPHRWKD","TOT","IDX2015","A","1983",70.071521,
"CAN","GDPHRWKD","TOT","IDX2015","A","1984",71.975947,
"CAN","GDPHRWKD","TOT","IDX2015","A","1985",72.6219,
"CAN","GDPHRWKD","TOT","IDX2015","A","1986",72.001878,
"CAN","GDPHRWKD","TOT","IDX2015","A","1987",72.334704,
"CAN","GDPHRWKD","TOT","IDX2015","A","1988",73.028003,
"CAN","GDPHRWKD","TOT","IDX2015","A","1989",73.203258,
"CAN","GDPHRWKD","TOT","IDX2015","A","1990",73.121247,
"CAN","GDPHRWKD","TOT","IDX2015","A","1991",73.764144,
"CAN","GDPHRWKD","TOT","IDX2015","A","1992",75.273142,
"CAN","GDPHRWKD","TOT","IDX2015","A","1993",76.796135,
