"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","USD_CAP","A","1970",4594.472328,
"AUS","GNI","TOT","USD_CAP","A","1971",4836.073104,
"AUS","GNI","TOT","USD_CAP","A","1972",5206.296608,
"AUS","GNI","TOT","USD_CAP","A","1973",5768.201414,
"AUS","GNI","TOT","USD_CAP","A","1974",6250.266187,
"AUS","GNI","TOT","USD_CAP","A","1975",6929.051812,
"AUS","GNI","TOT","USD_CAP","A","1976",7334.233959,
"AUS","GNI","TOT","USD_CAP","A","1977",7623.436358,
"AUS","GNI","TOT","USD_CAP","A","1978",8437.67281,
"AUS","GNI","TOT","USD_CAP","A","1979",9344.489277,
"AUS","GNI","TOT","USD_CAP","A","1980",10428.480537,
"AUS","GNI","TOT","USD_CAP","A","1981",11711.906823,
"AUS","GNI","TOT","USD_CAP","A","1982",11881.667827,
"AUS","GNI","TOT","USD_CAP","A","1983",12605.273265,
"AUS","GNI","TOT","USD_CAP","A","1984",13393.654547,
"AUS","GNI","TOT","USD_CAP","A","1985",14233.295567,
"AUS","GNI","TOT","USD_CAP","A","1986",14702.606867,
"AUS","GNI","TOT","USD_CAP","A","1987",15736.291222,
"AUS","GNI","TOT","USD_CAP","A","1988",16636.344026,
"AUS","GNI","TOT","USD_CAP","A","1989",17187.642714,
"AUS","GNI","TOT","USD_CAP","A","1990",17096.243537,
"AUS","GNI","TOT","USD_CAP","A","1991",17449.916047,
"AUS","GNI","TOT","USD_CAP","A","1992",18609.982491,
"AUS","GNI","TOT","USD_CAP","A","1993",19701.865139,
"AUS","GNI","TOT","USD_CAP","A","1994",20653.089607,
"AUS","GNI","TOT","USD_CAP","A","1995",21605.880026,
"AUS","GNI","TOT","USD_CAP","A","1996",22479.110015,
"AUS","GNI","TOT","USD_CAP","A","1997",23663.624234,
"AUS","GNI","TOT","USD_CAP","A","1998",24861.398862,
"AUS","GNI","TOT","USD_CAP","A","1999",26338.792847,
"AUS","GNI","TOT","USD_CAP","A","2000",27512.440202,
"AUS","GNI","TOT","USD_CAP","A","2001",28743.345275,
"AUS","GNI","TOT","USD_CAP","A","2002",29933.866782,
"AUS","GNI","TOT","USD_CAP","A","2003",31416.01886,
"AUS","GNI","TOT","USD_CAP","A","2004",32689.154091,
"AUS","GNI","TOT","USD_CAP","A","2005",34256.898197,
"AUS","GNI","TOT","USD_CAP","A","2006",36192.963067,
"AUS","GNI","TOT","USD_CAP","A","2007",38019.716027,
"AUS","GNI","TOT","USD_CAP","A","2008",38698.929938,
"AUS","GNI","TOT","USD_CAP","A","2009",40050.153542,
"AUS","GNI","TOT","USD_CAP","A","2010",41108.108957,
"AUS","GNI","TOT","USD_CAP","A","2011",43078.605894,
"AUS","GNI","TOT","USD_CAP","A","2012",42792.073831,
"AUS","GNI","TOT","USD_CAP","A","2013",46515.053703,
"AUS","GNI","TOT","USD_CAP","A","2014",46636.73326,
"AUS","GNI","TOT","USD_CAP","A","2015",46121.493703,
"AUS","GNI","TOT","USD_CAP","A","2016",48789.78533,
"AUS","GNI","TOT","USD_CAP","A","2017",49112.764366,
"AUS","GNI","TOT","USD_CAP","A","2018",51214.639305,
"AUS","GNI","TOT","USD_CAP","A","2019",51873.977755,
"AUS","GNI","TOT","USD_CAP","A","2020",54142.932841,
"AUT","GNI","TOT","USD_CAP","A","1970",3837.837132,"E"
"AUT","GNI","TOT","USD_CAP","A","1971",4222.3766,"E"
"AUT","GNI","TOT","USD_CAP","A","1972",4646.532235,"E"
"AUT","GNI","TOT","USD_CAP","A","1973",5109.20122,"E"
"AUT","GNI","TOT","USD_CAP","A","1974",5786.930535,"E"
"AUT","GNI","TOT","USD_CAP","A","1975",6312.221683,"E"
"AUT","GNI","TOT","USD_CAP","A","1976",6966.169371,"E"
"AUT","GNI","TOT","USD_CAP","A","1977",7765.48017,"E"
"AUT","GNI","TOT","USD_CAP","A","1978",8296.007779,"E"
"AUT","GNI","TOT","USD_CAP","A","1979",9485.261745,"E"
"AUT","GNI","TOT","USD_CAP","A","1980",10513.329712,"E"
"AUT","GNI","TOT","USD_CAP","A","1981",11436.923082,"E"
"AUT","GNI","TOT","USD_CAP","A","1982",12396.986341,"E"
"AUT","GNI","TOT","USD_CAP","A","1983",13315.986247,"E"
"AUT","GNI","TOT","USD_CAP","A","1984",13790.957461,"E"
"AUT","GNI","TOT","USD_CAP","A","1985",14579.124416,"E"
"AUT","GNI","TOT","USD_CAP","A","1986",15160.086436,"E"
"AUT","GNI","TOT","USD_CAP","A","1987",15738.44187,"E"
