"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHFA","CURDEP","PC_HHFA","A","1995",24.08741,
"AUS","HHFA","CURDEP","PC_HHFA","A","1996",23.46144,
"AUS","HHFA","CURDEP","PC_HHFA","A","1997",22.48466,
"AUS","HHFA","CURDEP","PC_HHFA","A","1998",21.03137,
"AUS","HHFA","CURDEP","PC_HHFA","A","1999",19.16493,
"AUS","HHFA","CURDEP","PC_HHFA","A","2000",18.92484,
"AUS","HHFA","CURDEP","PC_HHFA","A","2001",18.5977,
"AUS","HHFA","CURDEP","PC_HHFA","A","2002",19.45562,
"AUS","HHFA","CURDEP","PC_HHFA","A","2003",19.34946,
"AUS","HHFA","CURDEP","PC_HHFA","A","2004",18.11836,
"AUS","HHFA","CURDEP","PC_HHFA","A","2005",17.32714,
"AUS","HHFA","CURDEP","PC_HHFA","A","2006",16.73032,
"AUS","HHFA","CURDEP","PC_HHFA","A","2007",16.3678,
"AUS","HHFA","CURDEP","PC_HHFA","A","2008",21.60537,
"AUS","HHFA","CURDEP","PC_HHFA","A","2009",20.28657,
"AUS","HHFA","CURDEP","PC_HHFA","A","2010",21.32675,
"AUS","HHFA","CURDEP","PC_HHFA","A","2011",23.03357,
"AUS","HHFA","CURDEP","PC_HHFA","A","2012",21.91849,
"AUS","HHFA","CURDEP","PC_HHFA","A","2013",21.96132,
"AUS","HHFA","CURDEP","PC_HHFA","A","2014",21.95728,
"AUS","HHFA","CURDEP","PC_HHFA","A","2015",22.16878,
"AUS","HHFA","CURDEP","PC_HHFA","A","2016",21.7868,
"AUS","HHFA","CURDEP","PC_HHFA","A","2017",21.41186,
"AUS","HHFA","CURDEP","PC_HHFA","A","2018",21.83628,
"AUS","HHFA","CURDEP","PC_HHFA","A","2019",20.14445,
"AUS","HHFA","CURDEP","PC_HHFA","A","2020",21.56477,
"AUT","HHFA","CURDEP","PC_HHFA","A","1995",53.00537,
"AUT","HHFA","CURDEP","PC_HHFA","A","1996",52.2233,
"AUT","HHFA","CURDEP","PC_HHFA","A","1997",51.08856,
"AUT","HHFA","CURDEP","PC_HHFA","A","1998",49.87291,
"AUT","HHFA","CURDEP","PC_HHFA","A","1999",49.15978,
"AUT","HHFA","CURDEP","PC_HHFA","A","2000",46.75488,
"AUT","HHFA","CURDEP","PC_HHFA","A","2001",46.86544,
"AUT","HHFA","CURDEP","PC_HHFA","A","2002",47.29732,
"AUT","HHFA","CURDEP","PC_HHFA","A","2003",46.95847,
"AUT","HHFA","CURDEP","PC_HHFA","A","2004",45.23082,
"AUT","HHFA","CURDEP","PC_HHFA","A","2005",42.69212,
"AUT","HHFA","CURDEP","PC_HHFA","A","2006",40.89727,
"AUT","HHFA","CURDEP","PC_HHFA","A","2007",41.11076,
"AUT","HHFA","CURDEP","PC_HHFA","A","2008",44.52099,
"AUT","HHFA","CURDEP","PC_HHFA","A","2009",43.22541,
"AUT","HHFA","CURDEP","PC_HHFA","A","2010",41.88396,
"AUT","HHFA","CURDEP","PC_HHFA","A","2011",42.60176,
"AUT","HHFA","CURDEP","PC_HHFA","A","2012",41.77488,
"AUT","HHFA","CURDEP","PC_HHFA","A","2013",40.65061,
"AUT","HHFA","CURDEP","PC_HHFA","A","2014",40.37356,
"AUT","HHFA","CURDEP","PC_HHFA","A","2015",40.46141,
