"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHWEALTH","FINAN","USD","A","1995",21491.32,
"AUS","HHWEALTH","FINAN","USD","A","1996",22956.27,
"AUS","HHWEALTH","FINAN","USD","A","1997",24439.96,
"AUS","HHWEALTH","FINAN","USD","A","1998",26765.76,
"AUS","HHWEALTH","FINAN","USD","A","1999",29684.64,
"AUS","HHWEALTH","FINAN","USD","A","2000",29964.11,
"AUS","HHWEALTH","FINAN","USD","A","2001",30994.08,
"AUS","HHWEALTH","FINAN","USD","A","2002",29823.33,
"AUS","HHWEALTH","FINAN","USD","A","2003",32003.99,
"AUS","HHWEALTH","FINAN","USD","A","2004",36480.82,
"AUS","HHWEALTH","FINAN","USD","A","2005",41183.42,
"AUS","HHWEALTH","FINAN","USD","A","2006",46409.21,
"AUS","HHWEALTH","FINAN","USD","A","2007",49634.34,
"AUS","HHWEALTH","FINAN","USD","A","2008",36216.45,
"AUS","HHWEALTH","FINAN","USD","A","2009",44767.13,
"AUS","HHWEALTH","FINAN","USD","A","2010",43348.44,
"AUS","HHWEALTH","FINAN","USD","A","2011",39587.61,
"AUS","HHWEALTH","FINAN","USD","A","2012",47865.08,
"AUS","HHWEALTH","FINAN","USD","A","2013",55560.66,
"AUS","HHWEALTH","FINAN","USD","A","2014",60842.57,
"AUS","HHWEALTH","FINAN","USD","A","2015",64343.47,
"AUS","HHWEALTH","FINAN","USD","A","2016",72584.35,
"AUS","HHWEALTH","FINAN","USD","A","2017",74695.05,
"AUS","HHWEALTH","FINAN","USD","A","2018",74408.91,
"AUS","HHWEALTH","FINAN","USD","A","2019",89373.17,
"AUS","HHWEALTH","FINAN","USD","A","2020",94755.31,
"AUT","HHWEALTH","FINAN","USD","A","1995",23836.63,
"AUT","HHWEALTH","FINAN","USD","A","1996",25426.58,
"AUT","HHWEALTH","FINAN","USD","A","1997",26577.27,
"AUT","HHWEALTH","FINAN","USD","A","1998",28316.88,
"AUT","HHWEALTH","FINAN","USD","A","1999",29611.01,
"AUT","HHWEALTH","FINAN","USD","A","2000",31931.35,
"AUT","HHWEALTH","FINAN","USD","A","2001",31895.87,
"AUT","HHWEALTH","FINAN","USD","A","2002",33065.16,
"AUT","HHWEALTH","FINAN","USD","A","2003",35622.56,
