"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1970",21516.496,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1971",19800.608,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1972",20050.358,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1973",26132.3,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1974",26804.866,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1975",25490.688,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1976",27917.133,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1977",26609.287,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1978",28756.434,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1979",28785.279,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1980",31507.203,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1981",35151.443,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1982",32184.694,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1983",34112.342,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1984",39789.056,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1985",39694.784,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1986",37818.492,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1987",42062.837,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1988",52529.123,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1989",55479.692,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1990",52308.921,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1991",54138.78,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1992",57709.151,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1993",62037.918,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1994",72177.067,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1995",75559.597,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1996",83035.919,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1997",91543.602,
