"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","1970",62.8268628308045,
"AUS","WKGPOP","TOT","PC_POP","A","1971",62.9788635954042,
"AUS","WKGPOP","TOT","PC_POP","A","1972",63.0850869354488,
"AUS","WKGPOP","TOT","PC_POP","A","1973",63.2608831194373,
"AUS","WKGPOP","TOT","PC_POP","A","1974",63.5241967412666,
"AUS","WKGPOP","TOT","PC_POP","A","1975",63.786123870339,
"AUS","WKGPOP","TOT","PC_POP","A","1976",64.0854258469076,
"AUS","WKGPOP","TOT","PC_POP","A","1977",64.4085067932223,
"AUS","WKGPOP","TOT","PC_POP","A","1978",64.6926041775844,
"AUS","WKGPOP","TOT","PC_POP","A","1979",64.947244468397,
"AUS","WKGPOP","TOT","PC_POP","A","1980",65.1299975311929,
"AUS","WKGPOP","TOT","PC_POP","A","1981",65.2854738173831,
"AUS","WKGPOP","TOT","PC_POP","A","1982",65.465827841183,
"AUS","WKGPOP","TOT","PC_POP","A","1983",65.6557013258607,
"AUS","WKGPOP","TOT","PC_POP","A","1984",65.9191363770253,
"AUS","WKGPOP","TOT","PC_POP","A","1985",66.1358985051727,
"AUS","WKGPOP","TOT","PC_POP","A","1986",66.4033499080742,
"AUS","WKGPOP","TOT","PC_POP","A","1987",66.6338352104794,
"AUS","WKGPOP","TOT","PC_POP","A","1988",66.7895019671956,
"AUS","WKGPOP","TOT","PC_POP","A","1989",66.8652601434388,
"AUS","WKGPOP","TOT","PC_POP","A","1990",66.9010686588463,
"AUS","WKGPOP","TOT","PC_POP","A","1991",66.8118893064097,
"AUS","WKGPOP","TOT","PC_POP","A","1992",66.73122929794,
"AUS","WKGPOP","TOT","PC_POP","A","1993",66.634720378016,
"AUS","WKGPOP","TOT","PC_POP","A","1994",66.5799517316815,
"AUS","WKGPOP","TOT","PC_POP","A","1995",66.5710000209943,
"AUS","WKGPOP","TOT","PC_POP","A","1996",66.601356275227,
"AUS","WKGPOP","TOT","PC_POP","A","1997",66.6428070464169,
"AUS","WKGPOP","TOT","PC_POP","A","1998",66.7069889352642,
"AUS","WKGPOP","TOT","PC_POP","A","1999",66.7680721469782,
"AUS","WKGPOP","TOT","PC_POP","A","2000",66.8523430954823,
"AUS","WKGPOP","TOT","PC_POP","A","2001",66.9032323769899,
"AUS","WKGPOP","TOT","PC_POP","A","2002",67.0161285772249,
"AUS","WKGPOP","TOT","PC_POP","A","2003",67.1361369506626,
"AUS","WKGPOP","TOT","PC_POP","A","2004",67.2243409605572,
"AUS","WKGPOP","TOT","PC_POP","A","2005",67.3126778400031,
"AUS","WKGPOP","TOT","PC_POP","A","2006",67.4027574052003,
"AUS","WKGPOP","TOT","PC_POP","A","2007",67.4304104424403,
"AUS","WKGPOP","TOT","PC_POP","A","2008",67.4996549281693,
"AUS","WKGPOP","TOT","PC_POP","A","2009",67.5054455278258,
"AUS","WKGPOP","TOT","PC_POP","A","2010",67.3862811624133,
"AUS","WKGPOP","TOT","PC_POP","A","2011",67.2268749576993,
"AUS","WKGPOP","TOT","PC_POP","A","2012",66.9304833205145,
"AUS","WKGPOP","TOT","PC_POP","A","2013",66.6713031564291,
"AUS","WKGPOP","TOT","PC_POP","A","2014",66.4253900823175,
"AUS","WKGPOP","TOT","PC_POP","A","2015",66.1831428835957,
"AUS","WKGPOP","TOT","PC_POP","A","2016",65.9175739049387,
"AUS","WKGPOP","TOT","PC_POP","A","2017",65.7345013750993,
"AUS","WKGPOP","TOT","PC_POP","A","2018",65.5532463120061,
"AUS","WKGPOP","TOT","PC_POP","A","2019",65.375521199949,
"AUS","WKGPOP","TOT","PC_POP","A","2020",65.0731593196429,
"AUT","WKGPOP","TOT","PC_POP","A","1970",61.5603864747239,
"AUT","WKGPOP","TOT","PC_POP","A","1971",61.4684762925903,
"AUT","WKGPOP","TOT","PC_POP","A","1972",61.4958562212221,
"AUT","WKGPOP","TOT","PC_POP","A","1973",61.627671080652,
"AUT","WKGPOP","TOT","PC_POP","A","1974",61.7564354856496,
"AUT","WKGPOP","TOT","PC_POP","A","1975",61.8970713835498,
"AUT","WKGPOP","TOT","PC_POP","A","1976",62.2106595378378,
"AUT","WKGPOP","TOT","PC_POP","A","1977",62.6354607230297,
"AUT","WKGPOP","TOT","PC_POP","A","1978",63.0940301931752,
"AUT","WKGPOP","TOT","PC_POP","A","1979",63.5922205995821,
"AUT","WKGPOP","TOT","PC_POP","A","1980",64.1784621441107,
"AUT","WKGPOP","TOT","PC_POP","A","1981",64.9157121887349,
"AUT","WKGPOP","TOT","PC_POP","A","1982",65.7190255263304,
"AUT","WKGPOP","TOT","PC_POP","A","1983",66.5370521468782,
"AUT","WKGPOP","TOT","PC_POP","A","1984",67.1844255996944,
"AUT","WKGPOP","TOT","PC_POP","A","1985",67.5132558112482,
"AUT","WKGPOP","TOT","PC_POP","A","1986",67.6484591258362,
"AUT","WKGPOP","TOT","PC_POP","A","1987",67.6738636276623,
"AUT","WKGPOP","TOT","PC_POP","A","1988",67.6181100934872,
