"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1979",11.70244,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1980",11.33123,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1981",10.1551,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1982",13.26102,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1983",19.3786,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1984",17.49021,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1985",15.53721,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1986",15.24372,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1987",15.017,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1988",13.34567,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1989",10.63731,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1990",13.21479,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1991",18.54115,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1992",20.74855,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1993",19.68469,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1994",17.39901,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1995",15.51896,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1996",16.38401,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1997",16.90263,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1998",15.29846,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1999",13.72753,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2000",12.87749,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2001",14.58873,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2002",13.77162,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2003",12.59431,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2004",11.83728,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2005",10.87232,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2006",10.53924,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2007",9.465696,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2008",9.00114,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2009",12.47598,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2010",11.92974,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2011",11.92408,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2012",12.44364,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2013",13.02819,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2014",14.11074,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2015",14.22524,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2016",13.80561,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",13.63616,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",12.81712,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",12.81681,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",15.27143,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1994",4.966667,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1995",6,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1996",6.475,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1997",6.9,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1998",6.05,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1999",5.041667,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2000",5.5,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2001",6.366667,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2002",7.1,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2003",8.225,"B"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2004",11.20833,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2005",12.53333,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2006",10.725,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2007",9.941667,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2008",9.191667,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2009",12.11667,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2010",10.45,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2011",9.558333,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2012",10.28333,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2013",10.2,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2014",11.48333,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2015",12.00833,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2016",13.06667,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",11.66667,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",10.3,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",9.95,"P"
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",12.61667,"P"
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1983",18.975,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1984",18.975,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1985",16.075,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1986",14.375,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1987",13.35,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1988",12.625,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1989",11.25,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1990",10.45,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1991",11.225,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1992",13.45,
